,title,price,link
10,"(Refurbished) Dell Latitude Laptop 7390 Intel Core i7 Mobile-8th Gen Processor, 4 GB Ram & 128 GB SSD, 1  ","26,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTI1NTk4NjYyNTEwMjAzOjE3MjE2NjI3MzA6c3BfbXRmOjIwMTI0NDQzMTc3Nzk4OjowOjo&url=%2FRenewed-Dell-Latitude-Mobile-8th-Processor%2Fdp%2FB0BVZYFX11%2Fref%3Dsr_1_44_sspa%3Fcrid%3D1ERF41KBXZZUQ%26dib%3DeyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721662730%26sprefix%3Dlaptop%252Caps%252C273%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
11,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1696IN  ","46,990",https://amazon.in//MSI-i5-12450H-Windows-GeForce-B12UCX-1696IN/dp/B0CV9S9VTM/ref=sr_1_45?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-45
12,"ASUS Vivobook 16, IntelÂ®Coreâ„¢ i3-1215U 12th Gen, 16-inch (40.64 cm) FHD+, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/FingerPrint/Black/1.88kg), X1605ZAB-MB322WS  ","34,990",https://amazon.in//ASUS-Vivobook-Intel%C2%AECoreTM-FingerPrint-X1605ZAB-MB322WS/dp/B0CFVYSZFG/ref=sr_1_46?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-46
13,"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UCX-1693IN  ","74,990",https://amazon.in//MSI-i7-12650H-Windows-GeForce-B12UCX-1693IN/dp/B0CV8RGCPH/ref=sr_1_47?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-47
14,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Premium Laptop (16 GB RAM/1 TB SSD/Win11 Home/Intel Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, White Backlit Keyboard, Steel Gray, 1.59KG  ","52,990",https://amazon.in//Acer-i5-1235U-Graphics-AL15-52-Keyboard/dp/B0D4Z942ZC/ref=sr_1_48?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-48
15,"HP Laptop 15, 13th Gen Intel Core i5-1334U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB, MSO, Dual speakers (Win 11, Silver, 1.59 kg), fd0221TU  ","56,390",https://amazon.in//HP-i5-1334U-15-6-inch-graphics-speakers/dp/B0CTKHG3F6/ref=sr_1_49?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-49
16,"ASUS Vivobook 16, IntelÂ®Coreâ„¢ i3-1215U 12th Gen, 16"" (40.64 cm) FHD+, Thin and Light Laptop (16 GB RAM/512GB SSD/Win11/FingerPrint/Black/1.88kg), X1605ZAB-MB342WS  ","38,990",https://amazon.in//ASUS-Intel%C2%AECoreTM-Laptop-FingerPrint-X1605ZAB-MB342WS/dp/B0CFVY1V5X/ref=sr_1_50?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-50
17,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","29,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_6?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.AgylnyZyRtUrvE1Rou7559RhWY1z2q9oLdH5F5eYDh5SJ7MrCAad2OV9XEl5zhbUrxC-qp4R5Re1r6BaqUBTX1ZUPZc_cXnhVgIhaVAt7YJ89I_kK7RHzx6OjV5aCbT_5GCA34J0dtnVlfKAMffXk_cwR2nuSQzQMP0JTAwA6ZWmJhATFR01sBAS-Ynb53bwcmZk_m-MgYbL1_dQFUJxtcaj1Ra1s6pJrXPQ60mjhAM.xWJv3GRGHpjnuY8hNO3vK9pDJQKSyqLffCvEiew8nxU&dib_tag=se&keywords=laptop&qid=1721662701&sprefix=laptop%2Caps%2C273&sr=8-6
18,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2144AU  ","36,990",https://amazon.in//HP-15-6-inch-graphics-speakers-eq2144AU/dp/B09RZRF1PJ/ref=sr_1_51?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-51
19,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W  ","68,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_52?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-52
